"country","state","lat","long","id","key","population","week","confirmed","death","time","time_sq","prev_week_total","new_cases","incidence","log_incidence","prev_week_actual","log_death","prev_log_death","new_death","log_new_death","prev_log_new_death","new_cases_per_100k","category"
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2020-09-28,47246,2204,0.381443298969072,0.145498990328409,46643,603,0.000444387452797651,-2.29815106332105,425,7.69807454129434,7.69671251438806,3,1.1314021114911,-2.30258509299405,44.4387452797651,2
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2020-10-05,47933,2204,0.391752577319588,0.153470081836539,47246,687,0.000506292172590359,-2.29753494476036,603,7.69807454129434,7.69807454129434,0,-2.30258509299405,1.1314021114911,50.6292172590359,3
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2020-10-12,48596,2208,0.402061855670103,0.161653735784887,47933,663,0.000488605109792442,-2.29771093990335,687,7.6998876962265,7.69807454129434,4,1.41098697371026,-2.30258509299405,48.8605109792442,2
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2020-10-19,49312,2209,0.412371134020619,0.170049952173451,48596,716,0.000527664040137841,-2.29732232528024,663,7.70034047174814,7.6998876962265,1,0.0953101798043249,1.41098697371026,52.7664040137841,3
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2020-10-26,50294,2216,0.422680412371134,0.178658731002232,49312,982,0.000723695652814749,-2.29537419757592,716,7.7035041732028,7.70034047174814,7,1.96009478404727,0.0953101798043249,72.3695652814749,3
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2020-11-02,51682,2222,0.43298969072165,0.18748007227123,50294,1388,0.0010229017984795,-2.29240803736489,982,7.70620797368735,7.7035041732028,6,1.80828877117927,1.96009478404727,102.29017984795,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2020-11-09,54014,2231,0.443298969072165,0.196513975980444,51682,2332,0.00171859293519755,-2.28554517124904,1388,7.71025001637736,7.70620797368735,9,2.2082744135228,1.80828877117927,171.859293519755,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2020-11-16,56706,2240,0.45360824742268,0.205760442129876,54014,2692,0.0019838988771663,-2.28294033230357,2332,7.71427578670977,7.71025001637736,9,2.2082744135228,2.2082744135228,198.38988771663,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2020-11-23,60181,2256,0.463917525773196,0.215219470719524,56706,3475,0.00256093930094832,-2.27729812730113,2692,7.7213929378767,7.71427578670977,16,2.77881927199042,2.2082744135228,256.093930094832,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2020-11-30,65098,2269,0.474226804123711,0.224891061749389,60181,4917,0.00362363699072314,-2.26698981889933,3475,7.72713855608722,7.7213929378767,13,2.57261223020711,2.77881927199042,362.363699072314,4
